Student ID (last 4 digits), Date, Sign-In Time, Sign-Out Time, Hours Logged
6099,2018-11-28,16:12:53.666076,16:24:55.953666,0.2006
6099,2018-11-28,16:32:48.333026,17:21:33.818161,0.8126
1312,2018-11-28,16:33:55.784802,,0
6502,2018-11-28,16:34:36.695787,,0
6099,2018-11-29,16:48:32.012099,17:05:03.407246,0.2754
1312,2018-11-30,16:39:31.899324,,0
6099,2018-12-03,15:16:32.421978,17:17:02.054091,2.0082
1312,2018-12-03,15:45:50.721462,17:24:54.776183,1.6511
1281,2018-12-03,15:46:12.182162,16:06:21.651854,0.336
9645,2018-12-03,15:46:14.010075,,0
8415,2018-12-03,15:46:17.844171,,0
2184,2018-12-03,15:46:21.354987,17:11:25.300779,1.4178
1889,2018-12-03,15:46:25.970739,17:21:34.861827,1.5858
6163,2018-12-03,15:48:30.747726,16:39:21.841155,0.8475
8144,2018-12-03,15:49:48.473302,,0
6163,2018-12-04,15:02:18.156453,16:37:02.769555,1.5791
0246,2018-12-04,15:02:32.010307,17:19:18.434552,2.2796
3276,2018-12-04,15:02:34.664317,15:36:35.506531,0.5669
1889,2018-12-04,15:03:00.797743,17:05:39.400045,2.0441
1312,2018-12-04,15:03:24.075832,16:15:42.457256,1.2051
2506,2018-12-04,15:03:26.925392,16:31:20.040645,1.4648
9645,2018-12-04,15:03:29.511410,16:45:33.288302,1.701
1281,2018-12-04,15:04:01.782979,15:06:01.833703,0.0333
2184,2018-12-04,15:04:17.101070,17:05:29.206355,2.02
8415,2018-12-04,15:04:26.203120,15:04:38.470823,0.0034
8415,2018-12-04,15:04:41.264991,16:11:27.513093,1.1128
1281,2018-12-04,15:21:41.039995,16:06:35.969139,0.7486
9019,2018-12-04,16:14:07.919771,16:15:52.587230,0.0291
7328,2018-12-04,22:26:46.650364,,0
7328,2018-12-05,00:26:52.955884,00:33:01.872947,0.1025
7328,2018-12-05,01:41:13.401107,02:11:24.176921,0.503
7328,2018-12-05,02:14:32.216719,02:16:33.815903,0.0338
7128,2018-12-05,02:27:45.019320,,0
7328,2018-12-05,02:30:53.865240,02:42:02.555853,0.1857
7328,2018-12-05,02:48:59.636792,03:22:22.150673,0.5563
6028,2018-12-05,02:57:38.528688,13:13:07.193450,10.258
7328,2018-12-05,03:23:23.079845,04:14:27.617019,0.8513
3902,2018-12-05,03:26:14.267737,,0
7328,2018-12-05,04:48:40.018405,04:57:25.565221,0.146
7328,2018-12-05,04:58:03.673269,05:00:13.929768,0.0362
0772,2018-12-05,05:24:06.603980,,0
7328,2018-12-05,05:26:28.142373,05:27:48.772573,0.0224
7328,2018-12-05,05:29:01.731127,05:42:32.812180,0.2253
7328,2018-12-05,05:42:44.296304,05:42:46.382153,0.0006
7328,2018-12-05,05:44:31.287873,05:45:19.869756,0.0135
7328,2018-12-05,05:47:31.051487,05:54:28.722742,0.116
7328,2018-12-05,05:59:47.082422,08:14:56.217355,2.2525
7328,2018-12-05,08:51:03.056272,09:41:58.141230,0.8486
7028,2018-12-05,13:06:35.358786,13:12:04.963715,0.0916
7028,2018-12-05,13:13:31.360561,13:14:35.399811,0.0178
6028,2018-12-05,13:14:48.467639,13:15:21.687282,0.0092
1210,2018-12-05,13:15:07.013442,,0
7028,2018-12-05,13:15:07.793423,13:15:34.443120,0.0074
6028,2018-12-05,13:15:40.109036,13:16:04.911778,0.0069
7028,2018-12-05,13:15:51.643734,13:15:56.880860,0.0015
0210,2018-12-05,13:15:52.600923,13:57:52.478574,0.7
7028,2018-12-05,13:16:52.696246,13:17:09.778075,0.0047
