Student ID (last 4 digits), Hours
2169,149.0219
3276,142.5949
1312,136.2317
4201,119.9216
6099,118.8204
0644,117.0972
1281,101.7961
2395,98.2554
0246,95.1284
9949,92.8665
2220,87.2741
5051,86.0558
0115,79.1974
6163,77.657
9645,76.8701
2297,74.8487
3624,72.3765
0898,71.6793
7409,70.6086
7001,68.4175
9528,68.2575
5086,68.062
9302,64.4023
2222,63.047
6969,62.6862
1844,61.5459
3524,60.27
2047,59.4818
0873,59.2532
0420,58.4204
6287,51.1781
1018,49.9851
1246,49.8987
1926,49.5123
1565,49.1497
0641,46.6051
6502,43.3024
5897,43.2736
7453,42.5248
7624,41.8187
7780,40.5057
0644,37.7814
6232,36.4277
8144,35.0645
1641,30.4333
8518,30.3328
3255,27.808
0809,26.9863
1823,25.9921
3439,24.6468
3350,24.0159
1136,23.7118
1889,23.3169
2009,22.9592
3646,22.6019
2184,20.99
0335,20.7872
5237,20.2399
2097,19.913
4188,18.8325
9227,18.4848
8415,17.5798
0637,15.1064
7938,14.8608
4314,14.0263
2506,13.4209
6143,13.2437
1105,12.7974
6028,11.2554
0251,11.0557
0969,10.902
3713,10.1811
4114,9.5018
7196,8.944
6960,8.7786
4148,8.7335
1635,7.9124
5917,7.3794
7328,5.8937
6542,5.8719
9914,5.2979
2313,4.425
7426,4.1312
0700,3.8268
8760,2.475
6644,2.2309
0393,1.9736
1280,1.9587
8320,1.758
0210,1.1488
4324,0.8915
7474,0.8289
0287,0.7778
8861,0.5947
0287,0.4396
1224,0.339
7028,0.3109
0274,0.0427
9019,0.0291
0966,0.0014
9744,0.0009
